name,x,y,Cr (ppm),Mn (ppm),Fe (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Pb (ppm)
CON 146.6 soil,-60.57434389,53.26847434,< LOD,2142,10011,32,16,53,< LOD,8
CON 146.7 soil,-60.57441864,53.26846464,< LOD,142,5676,19,15,62,3,9
CON 146.8 soil,-60.5742899,53.26851437,32,517,15479,27,17,48,5,21
CON 146.9 soil,-60.57427917,53.26857192,< LOD,954,2819,26,42,77,< LOD,9
CON 147.1 soil,-60.57397339,53.26862566,< LOD,807,5823,22,30,114,0,0
CON 147.2 soil,-60.57398111,53.26866737,< LOD,6893,< LOD,22,17,186,9,31
CON 147.3 soil,-60.57398748,53.26871128,< LOD,1373,3153,22,18,83,3,6
CON 147.4 soil,-60.5739117,53.26864551,31,258,9960,26,19,56,4,36
CON 147.5 soil,-60.57385001,53.26867158,< LOD,515,4959,22,39,129,0,0
CON 147.6 soil,-60.57395529,53.26857994,55,767,28402,39,15,51,3,9
CON 147.7 soil,-60.57405353,53.2686022,< LOD,1212,3262,19,16,54,4,13
CON 147.8 soil,-60.57410516,53.26858215,21,578,10961,26,15,83,11,38
